gene	0h	3h	12h	24h	48h
2310005L22Rik	11.20977238	9.126709232	8.161031606	7.503121581	7.648279755
Melk	6.808859792	8.631656991	8.110746313	4.928939343	3.25392766
Tk1	6.991956485	9.743460223	8.416603025	4.644783278	3.437285145
Nefh	7.535679116	7.571392615	6.857817983	4.252522365	3.991131931
Vpreb1	12.85288516	11.57291377	10.46588487	10.00391462	9.311074814
C230082I21Rik	8.718189649	6.802502943	5.971993065	5.783075067	5.182281862
Wdt2	8.250970012	9.489296536	8.248549397	5.517411809	4.725030297
Ccne2	6.262055357	8.748745776	7.779574798	3.093377228	2.75285828
Slc35f3	6.200240398	5.165843738	3.091157483	2.97749326	2.696399236
Pa2g4	10.2163937	10.3164125	9.052569552	7.542391368	6.712916778
Akap12	10.32635092	8.519529998	8.920757889	8.074103769	6.83626091
Fetub	8.801817215	6.272528774	6.388005993	7.434013183	5.314624977
affy_1439789_at	9.776264495	7.934029125	6.480865083	6.149734666	6.291853463
Pabpc4	10.69121736	10.44151111	9.981561971	8.576215243	7.217552973
Foxo1	10.11483836	6.534592095	6.778283278	6.438415621	6.646299294
Cd97	9.465528866	7.093659295	6.531902538	8.003402208	6.022382392
Rad51ap1	6.25486439	7.755291587	7.241177797	4.34815033	2.830746599
Rfc4	8.416961753	9.058157016	8.622513038	6.397523838	5.010871289
E430016P22Rik	8.103282343	7.978646106	7.46236126	5.220216771	4.701419924
Aurkb	8.191781939	9.45758864	8.533353766	6.584542753	4.798306412
Ifi30	11.61290295	10.88428726	7.865921582	8.693664918	8.239570879
Mycn	8.185263875	4.837886659	4.646781132	4.895627313	4.816941813
2700094K13Rik	8.658872783	10.47896128	10.06638517	7.75248406	5.293705099
Cdc6	6.499351606	9.123901299	9.088216872	3.828273053	3.143867823
Racgap1	7.684241878	8.909449636	8.269835363	6.045025976	4.331725251
Rapgef5	8.599908149	8.040210126	7.062852615	6.105201292	5.273524696
5730507H05Rik	6.618969055	6.643265269	6.575146113	5.069179388	3.294887446
Gpr56	8.330802334	6.299059754	6.490361222	5.382784249	5.031387336
Zfp462	7.357561477	5.978156807	4.886736185	3.712464511	4.058223162
Trip13	6.81693852	8.558491037	7.708387614	4.694793049	3.519799485
Taf4b	8.231703572	7.81625443	6.839137716	5.002850614	4.974464095
2810417H13Rik	7.900413748	10.39888943	9.580932256	6.665828017	4.669695563
Shmt1	8.073932462	8.327114252	7.665832993	5.13316857	4.849834142
Zfp94	7.198992969	3.988306924	4.071752827	3.945969583	4.008135961
Mcm3	8.043518771	10.23243578	9.798159644	5.275198028	4.858672635
Cxcr4	9.128868855	8.474354437	6.850372498	5.671603052	5.948616129
affy_1458693_at	6.900414593	3.287303576	3.218524609	3.376533629	3.721151998
Prps1	9.029406817	9.477200325	8.874273915	7.096094984	5.852488182
Zfp566	7.035178438	5.612210685	5.271024816	4.505002253	3.858918059
Cdc20	9.054205767	10.8650755	10.51511205	8.456970774	5.87933403
Prkd2	9.11396043	5.655325811	6.783120269	5.88826114	5.941472915
affy_1439960_at	6.781405628	5.846247076	5.612112055	4.100983322	3.633124783
Prc1	7.450296345	9.64782313	8.671502556	6.421481613	4.312973614
Psph	10.25311877	9.763675373	9.316933077	8.097011456	7.121676679
Bag2	7.91865953	6.885619362	6.740646679	5.429706875	4.800915844
BC068171	9.580167284	9.846315092	8.98715463	7.319823264	6.463103765
Gpt2	8.031260659	6.377784397	6.183709292	5.336708034	4.914319125
Cdca5	8.139514751	9.543261196	8.762792742	5.956535541	5.022899552
Angptl6	8.429744733	5.72103849	5.255297187	5.662730718	5.332027618
Bub1	5.907170189	7.623883697	6.573803162	4.818286102	2.809891929
2010001M09Rik	12.47552132	11.01649356	10.14193214	11.28255447	9.387265328
affy_1430143_at	6.077868798	3.318989612	2.94019647	2.975932441	2.991446417
Esco2	5.323699044	6.440312858	5.105452406	2.185187234	2.256178539
Hmmr	6.496611862	7.397789497	6.796987825	4.715198169	3.430854539
